State,Median_Income,Percentage_People_in_Poverty
AL,38111,16
AK,54627,9
AZ,42590,14
AR,33948,18
CA,49894,13
CO,51022,10
CT,55970,9
DC,50152,9
DE,43573,17
FL,40171,12
GA,43217,12
HI,53123,10
ID,42519,11
IL,45787,13
IN,43003,10
IA,43042,10
KS,43725,11
KY,37396,15
LA,35523,17
MA,39395,12
MD,56763,9
ME,52354,10
MI,44476,12
MN,55914,7
MS,33659,18
MO,43988,11
MT,35201,14
NE,44623,10
NV,46984,10
NH,57352,6
NJ,56772,8
NM,37587,18
NY,44228,14
NC,39000,15
ND,39594,10
OH,44160,11
OK,38281,13
OR,42617,12
PA,44286,10
RI,46199,11
SC,39326,14
SD,40518,13
TN,38550,15
TX,41275,16
UT,50614,10
VT,45692,9
VA,53275,10
WA,48688,12
WV,32589,16
WI,47220,10
WY,43641,10